Zip,Unemp. Rate,# in sample
72623,3%,468
72624,0%,452
72626,14%,1219
72628,0%,654
72629,31%,321
72630,0%,157
72631,9%,3603
72632,12%,3818
72633,6%,1384
72634,6%,3688
72635,6%,3037
72636,,50
72638,3%,5094
72639,12%,626
72640,0%,457
72641,10%,2119
72642,16%,1771
72644,6%,1841
72645,13%,959
72648,7%,437
72650,4%,3694
72651,5%,963
72653,7%,24542
72655,0%,375
72658,13%,1239
72660,10%,480
72661,15%,344
72662,11%,2118
72663,13%,369
72666,0%,214
72668,0%,487
72669,4%,160
72670,0%,89
72672,9%,301
72675,4%,1105
72677,7%,465
72679,0%,49
72680,0%,709
72682,0%,148
72683,0%,97
72685,1%,1091
72686,0%,229
72687,7%,5416
72701,6%,34178
72703,6%,22966
72704,6%,15581
72712,5%,28866
72714,5%,8970
72715,2%,12718
72717,6%,734
72718,2%,1274
72719,5%,6144
72721,0%,145
72722,2%,2354
72727,4%,4167
72729,12%,136
72730,8%,6057
72732,2%,3838
72734,4%,4764
72736,3%,4542
72738,3%,2462
72739,0%,341
72740,6%,7026
72742,0%,358
72744,5%,3328
72745,5%,8185
72747,0%,246
72749,0%,38
72751,2%,4114
72752,0%,252
72753,3%,5905
72756,6%,28351
72758,5%,24411
72760,3%,217
72761,5%,16300
72762,4%,25885
72764,7%,34547
72768,3%,883
72769,2%,918
72773,11%,873
72774,3%,4613
72776,0%,413
72801,9%,14384
72802,5%,17542
72821,8%,1477
72823,6%,5018
72824,14%,1411
72826,46%,23
72827,0%,98
72828,28%,50
72830,5%,11229
72832,5%,1000
72833,4%,3014
72834,5%,8473
72835,12%,631
72837,3%,5941
72838,0%,175
72839,0%,97
72840,7%,1621
72841,0%,306
72842,6%,1115
72843,4%,1724
72845,0%,1005
72846,7%,3229
72847,12%,2126
72851,0%,437
72852,12%,271
72853,14%,1486
72854,16%,469
72855,7%,4930
72856,0%,451
72857,9%,1142
72858,8%,2368
72860,0%,370
72863,4%,1320
72865,9%,1352
72901,7%,17593
72903,4%,20915
72904,7%,15390
72908,5%,10317
72916,3%,5496
72921,7%,10334
72923,7%,3605
72926,0%,505
72927,8%,6759
72928,2%,663
72930,8%,228
72932,3%,1480
72933,10%,3566
72934,7%,1047
72935,19%,408
72936,7%,11629
72937,5%,2865
72938,3%,1090
72940,3%,1550
72941,5%,4441
72943,8%,2011
72944,3%,2110
72945,6%,275
72946,4%,2895
72947,10%,3937
72948,0%,321
72949,7%,8209
72950,0%,293
72951,6%,794
72952,7%,2363
72955,0%,241
72956,4%,24673
72958,10%,5989
72959,7%,2546
73002,8%,823
73003,3%,15145
73004,3%,546
73005,10%,6915
73006,8%,3069
73007,0%,1448
73008,5%,15684
73009,4%,1099
73010,5%,12307
73011,4%,360
73012,3%,18105
73013,2%,34633
73014,5%,967
73015,8%,2227
73016,4%,1162
73017,8%,1351
73018,5%,15987
73019,20%,88
73020,4%,16509
73021,0%,272
73024,0%,537
73025,2%,8603
73026,4%,8559
73027,4%,1215
73028,3%,2495
73029,6%,1348
73030,4%,3506
73032,8%,266
73033,10%,302
73034,4%,30382
73036,7%,14430
73038,7%,1687
73040,8%,1364
73041,3%,300
73042,7%,778
73043,0%,72
73044,5%,16209
73045,2%,8013
73047,5%,3451
73048,6%,1536
73049,4%,4372
73050,30%,790
73051,5%,8423
73052,4%,4768
73053,3%,584
73054,7%,3288
73055,5%,7677
73056,6%,377
73057,4%,1959
73058,7%,382
73059,5%,2328
73061,1%,1211
73062,1%,1160
73063,1%,567
73064,4%,15147
73065,5%,5097
73066,0%,333
73067,1%,1853
73068,7%,8096
73069,5%,20153
73071,4%,29248
73072,5%,35115
73073,2%,484
73074,4%,794
73075,3%,7520
73077,6%,5694
73078,3%,5488
73079,1%,503
73080,2%,7373
73082,5%,2030
73084,11%,5070
73086,5%,6237
73089,2%,9097
73090,4%,1433
73092,2%,674
73093,4%,1995
73095,8%,1384
73096,3%,10360
73097,0%,282
73098,6%,3674
73099,4%,43413
73102,9%,2255
73103,5%,3872
73104,9%,1368
73105,8%,4671
73106,8%,10514
73107,7%,20686
73108,9%,10405
73109,9%,15164
73110,6%,25151
73111,13%,8994
73112,5%,25489
73114,10%,12052
73115,9%,15511
73116,3%,8331
73117,18%,3909
73118,4%,11203
73119,7%,21587
73120,5%,29722
73121,10%,2700
73122,3%,11188
73127,8%,17682
73128,2%,2702
73129,12%,13573
73130,4%,15183
73131,3%,2519
73132,4%,20695
73134,7%,3308
73135,7%,14620
73139,6%,13619
73141,9%,1985
73142,4%,8528
73145,0%,1681
73149,11%,3174
73150,2%,3599
73151,4%,1139
73159,5%,23428
73160,4%,39403
73162,3%,22617
73165,4%,4607
73169,7%,1322
73170,2%,27061
73173,3%,812
73179,0%,2208
73401,5%,26730
73425,21%,97
73430,0%,1081
73432,7%,727
73433,2%,1917
73434,0%,458
73437,,35
73438,3%,2866
73439,7%,5954
73440,0%,276
73441,0%,249
73442,1%,607
73443,4%,2574
73444,0%,104
73446,5%,6051
73447,9%,939
73448,2%,4320
73449,10%,2844
73450,7%,1014
73453,11%,400
73455,4%,473
73456,7%,1880
73458,8%,733
73459,0%,914
73460,11%,3580
73461,10%,803
73463,3%,2997
73481,3%,778
73487,4%,139
73491,1%,715
73501,5%,16033
73503,0%,8443
73505,6%,37829
73507,8%,18232
73520,0%,91
73521,6%,16365
73526,3%,1576
73527,6%,3547
73528,4%,346
73529,10%,4141
73530,13%,384
73531,12%,382
73532,1%,490
73533,5%,21789
73537,6%,596
73538,4%,3214
73539,0%,132
73540,2%,374
73541,3%,2234
73542,14%,3591
73543,6%,1434
73544,0%,186
73546,15%,964
73547,1%,2056
73548,0%,432
73549,2%,378
73550,4%,1923
73551,0%,105
73552,8%,1160
73553,0%,39
73554,3%,2777
73555,7%,254
73556,7%,118
73557,23%,280
73559,4%,375
73560,0%,551
73562,8%,583
73564,4%,460
73565,3%,804
73566,7%,1369
73567,3%,476
73568,7%,1016
73569,7%,414
73570,1%,926
73571,0%,83
73572,2%,2791
73573,3%,1914
73601,4%,7483
73620,0%,1072
73622,4%,212
73624,7%,1757
73625,1%,539
73626,2%,776
73627,0%,502
73628,4%,1470
73632,3%,2525
73638,0%,157
73639,2%,423
73641,3%,714
73642,5%,123
73644,5%,10823
73645,2%,1185
73646,14%,211
73647,0%,464
73650,5%,692
73651,2%,3469
73654,0%,751
73655,1%,669
73658,0%,226
73659,0%,162
73660,5%,243
73661,4%,340
73662,2%,5139
73663,6%,1004
73664,5%,895
73666,0%,118
73667,2%,506
73669,2%,1519
73673,0%,270
73701,7%,18784
73703,4%,21738
73705,0%,257
73716,0%,382
73717,3%,5615
73718,0%,417
73719,13%,55
73720,0%,166
73722,0%,403
73724,3%,830
73726,0%,425
73727,0%,123
73728,3%,1488
73729,1%,501
73730,5%,528
73731,3%,158
73733,12%,169
73734,1%,730
73735,1%,484
73736,6%,303
73737,1%,2602
73738,4%,964
73739,3%,174
73741,7%,1627
73742,5%,3139
73743,0%,96
73744,5%,119
73746,,0
73747,0%,261
73749,2%,343
73750,2%,5453
73753,0%,384
73754,1%,806
73755,10%,666
73756,7%,162
73757,0%,126
73758,0%,130
73759,3%,1337
73760,4%,376
73761,5%,309
73762,0%,1674
73763,0%,1185
73764,12%,145
73766,4%,891
73768,1%,1089
73771,6%,481
73772,2%,4865
73773,4%,1410
73801,4%,11786
73832,2%,797
73834,1%,1266
73835,0%,210
73838,6%,505
73840,1%,542
73841,1%,1078
73842,1%,315
73843,4%,756
73844,0%,170
73848,3%,1662
73851,0%,48
73852,4%,1696
73853,0%,301
73855,0%,112
73857,1%,486
73858,1%,1198
73859,0%,1052
73860,3%,1174
73901,0%,78
73931,0%,411
73932,1%,1655
73933,1%,1334
73937,6%,104
73938,8%,574
73939,1%,1454
73942,4%,9179
73944,6%,368
73945,3%,2238
73946,0%,33
73947,1%,395
73949,9%,1200
73950,6%,1355
73951,3%,708
74001,5%,274
74002,5%,1905
74003,6%,11344
74006,4%,20038
74008,2%,16488
74010,6%,8048
74011,3%,19231
74012,3%,42304
74014,3%,25956
74015,4%,7016
74016,7%,4597
74017,6%,21315
74019,4%,14338
74020,8%,5808
74021,3%,13019
74022,4%,1540
74023,6%,9885
74026,5%,774
74027,3%,854
74028,11%,1270
74029,8%,4335
74030,5%,2626
74032,6%,1722
74033,6%,7152
74034,5%,128
74035,7%,3563
74036,5%,4642
74037,2%,11090
74038,8%,1822
74039,7%,2760
74041,7%,1457
74042,8%,401
74044,5%,5513
74045,0%,342
74046,11%,96
74047,4%,4872
74048,7%,4447
74050,14%,388
74051,6%,1922
74052,13%,1000
74053,4%,3099
74054,14%,699
74055,3%,27176
74056,7%,4510
74058,4%,3314
74059,3%,3962
74060,10%,521
74061,10%,1555
74062,4%,838
74063,5%,23178
74066,8%,23776
74068,0%,64
74070,5%,10264
74071,0%,118
74072,3%,1521
74073,4%,4009
74074,4%,24001
74075,3%,19710
74078,15%,2233
74079,10%,3279
74080,4%,1969
74081,6%,1274
74082,0%,71
74083,1%,914
74084,2%,433
74085,3%,1768
74103,12%,1957
74104,6%,10823
74105,5%,22392
74106,11%,11353
74107,10%,14817
74108,7%,5159
74110,10%,10309
74112,7%,16749
74114,2%,12912
74115,11%,17543
74116,11%,3137
74117,0%,181
74119,7%,3339
74120,9%,4103
74126,14%,7648
74127,12%,13485
74128,7%,9161
74129,7%,14181
74130,16%,1644
74131,9%,2502
74132,6%,5821
74133,3%,34849
74134,5%,10927
74135,3%,17337
74136,7%,25523
74137,2%,21057
74145,5%,14597
74146,5%,9706
74301,4%,9826
74330,5%,2157
74331,5%,5674
74332,12%,1376
74333,3%,868
74337,5%,3889
74338,7%,4056
74339,17%,2161
74340,6%,174
74342,9%,1921
74343,6%,2323
74344,6%,11833
74346,9%,6293
74347,8%,2393
74349,12%,276
74350,13%,703
74352,6%,5747
74354,8%,14281
74358,15%,217
74359,6%,582
74360,16%,285
74361,6%,12644
74363,6%,2189
74364,1%,1248
74365,10%,3639
74366,15%,1220
74367,38%,407
74368,70%,18
74369,7%,1411
74370,8%,2874
74401,11%,14218
74403,6%,23758
74421,6%,3638
74422,3%,495
74423,2%,871
74425,1%,717
74426,10%,7787
74427,8%,858
74428,3%,848
74429,5%,10565
74430,6%,520
74431,4%,863
74432,7%,7755
74434,5%,7334
74435,6%,2357
74436,7%,3141
74437,3%,8087
74438,19%,190
74441,10%,4316
74442,4%,771
74445,6%,2274
74446,6%,433
74447,10%,13404
74450,7%,1249
74451,7%,3430
74452,2%,358
74454,6%,2088
74455,8%,2007
74456,0%,138
74457,7%,553
74458,21%,65
74459,0%,50
74460,8%,226
74462,7%,6342
74463,7%,2159
74464,8%,22992
74467,10%,12170
74468,24%,207
74469,6%,1740
74470,6%,1064
74471,6%,1537
74472,9%,390
74477,,0
74501,4%,23879
74521,5%,194
74522,0%,174
74523,8%,4451
74525,8%,7462
74528,2%,159
74530,9%,158
74531,8%,750
74533,4%,632
74534,11%,236
74535,0%,145
74536,10%,1474
74538,4%,3105
74540,0%,204
74543,7%,322
74546,6%,565
74547,9%,2559
74549,0%,80
74552,16%,719
74553,1%,907
74554,6%,1805
74555,1%,616
74556,12%,355
74557,8%,390
74558,11%,491
74560,2%,478
74561,5%,1722
74562,11%,658
74563,5%,1518
74565,6%,435
74567,9%,119
74569,6%,1177
74570,0%,829
