Zip,Unemp. Rate,# in sample
78626,5%,20096
78628,4%,18046
78629,8%,8582
78631,5%,1840
78632,3%,664
78633,4%,15515
78634,7%,15291
78635,0%,156
78636,3%,3073
78638,5%,1657
78639,4%,5495
78640,5%,28320
78641,4%,30863
78642,5%,6027
78643,3%,5505
78644,10%,13276
78645,5%,8718
78648,2%,6060
78650,3%,1134
78652,1%,3536
78653,5%,9996
78654,8%,13827
78655,7%,2892
78656,34%,1961
78657,2%,5260
78659,7%,2383
78660,6%,47479
78661,0%,121
78662,8%,2270
78663,4%,616
78664,6%,37687
78665,6%,22828
78666,9%,52071
78669,3%,7134
78670,5%,408
78671,1%,607
78672,12%,785
78675,0%,185
78676,5%,9949
78677,0%,121
78681,5%,36247
78701,7%,5028
78702,11%,16184
78703,3%,16066
78704,6%,35575
78705,14%,28691
78712,33%,544
78717,3%,16052
78719,4%,956
78721,12%,8250
78722,5%,5053
78723,9%,22188
78724,7%,13926
78725,9%,4374
78726,4%,10290
78727,4%,23324
78728,4%,16623
78729,5%,21714
78730,2%,6247
78731,3%,20971
78732,4%,8795
78733,2%,6618
78734,3%,13507
78735,2%,12780
78736,3%,5536
78737,3%,9277
78738,4%,8300
78739,2%,11120
78741,7%,36791
78742,6%,610
78744,6%,29720
78745,7%,45419
78746,3%,20805
78747,6%,9722
78748,4%,29910
78749,2%,26301
78750,5%,21538
78751,7%,13101
78752,6%,13317
78753,8%,38711
78754,6%,10511
78756,4%,6609
78757,5%,19181
78758,8%,34018
78759,5%,33920
78801,8%,16336
78802,0%,450
78827,12%,1250
78828,0%,284
78829,14%,1012
78830,8%,586
78832,9%,2924
78833,11%,1055
78834,11%,5350
78836,,55
78837,0%,188
78838,14%,131
78839,8%,5929
78840,7%,35116
78843,0%,165
78850,6%,1062
78851,0%,34
78852,10%,36448
78860,0%,113
78861,8%,10850
78870,6%,650
78871,0%,26
78872,10%,1507
78873,14%,1366
78877,0%,646
78879,8%,267
78880,11%,1492
78881,11%,1552
78883,0%,99
78884,6%,791
78885,0%,107
78886,0%,445
78931,0%,193
78932,1%,415
78933,7%,955
78934,4%,5177
78935,3%,956
78938,0%,306
78940,2%,1818
78941,2%,2334
78942,2%,6563
78943,0%,300
78944,1%,456
78945,2%,8870
78946,2%,775
78947,7%,3927
78948,5%,679
78949,0%,284
78950,4%,1764
78951,0%,44
78953,1%,493
78954,0%,979
78956,2%,4004
78957,7%,6541
78959,17%,1477
78962,1%,3498
78963,4%,551
79001,0%,205
79003,0%,158
79005,2%,1169
79007,7%,10841
79009,2%,1432
79010,9%,499
79011,4%,179
79012,0%,597
79013,6%,2256
79014,0%,2895
79015,4%,15069
79016,0%,83
79018,4%,424
79019,3%,1356
79021,0%,79
79022,2%,8249
79024,1%,303
79025,0%,26
79027,5%,3498
79029,5%,10974
79031,7%,1008
79032,4%,72
79033,,8
79034,2%,528
79035,3%,3720
79036,7%,4394
79039,4%,593
79040,2%,1453
79041,3%,2299
79042,2%,896
79043,4%,1085
79044,1%,442
79045,5%,14105
79046,1%,357
79051,0%,19
79052,2%,905
79053,0%,117
79054,3%,399
79056,0%,36
79057,3%,895
79058,,0
79059,4%,705
79061,4%,364
79062,3%,173
79063,1%,566
79064,8%,2111
79065,7%,16525
79068,2%,2402
79070,8%,7201
79072,5%,21488
79078,2%,352
79079,6%,2134
79080,3%,473
79081,2%,2720
79082,2%,315
79083,4%,1784
79084,7%,1663
79085,0%,70
79086,3%,1820
79087,4%,649
79088,12%,4448
79091,0%,54
79092,1%,829
79093,0%,27
79094,0%,78
79095,3%,1919
79096,5%,1404
79097,1%,989
79098,2%,317
79101,3%,2185
79102,6%,6869
79103,7%,7859
79104,7%,5386
79105,,0
79106,4%,21913
79107,7%,24699
79108,5%,13119
79109,4%,35383
79110,4%,14179
79111,2%,1141
79118,3%,13929
79119,3%,7660
79121,3%,5404
79124,1%,7022
79201,2%,5638
79220,0%,135
79225,5%,784
79226,3%,2530
79227,14%,1112
79229,1%,346
79230,0%,155
79231,50%,41
79233,12%,149
79234,0%,58
79235,5%,2747
79236,2%,208
79237,2%,433
79239,0%,181
79240,0%,31
79241,3%,1988
79243,0%,55
79244,4%,422
79245,5%,1751
79247,0%,55
79248,1%,1279
79250,6%,1091
79251,0%,52
79252,7%,2575
79255,5%,342
79256,16%,313
79257,4%,1032
79258,,0
79259,0%,120
79261,3%,471
79311,6%,2500
79312,10%,681
79313,6%,1026
79314,0%,46
79316,6%,8584
79322,5%,1549
79323,4%,4426
79324,,0
79325,1%,1873
79326,,0
79329,1%,2551
79330,0%,40
79331,6%,10476
79336,5%,13026
79339,7%,5335
79342,0%,385
79343,2%,1114
79344,0%,53
79345,8%,800
79346,10%,1862
79347,5%,5286
79350,4%,231
79351,6%,929
79353,,6
79355,3%,1416
79356,2%,5226
79357,6%,1854
79358,1%,988
79359,6%,2724
79360,2%,8466
79363,9%,3737
79364,10%,6131
79366,2%,1009
79367,8%,467
79369,0%,97
79370,4%,1514
79371,4%,943
79372,4%,1011
79373,1%,2603
79376,0%,54
79377,0%,129
79378,1%,268
79379,2%,465
79380,0%,163
79381,1%,949
79382,5%,4318
79401,9%,5829
79403,7%,12895
79404,5%,8241
79406,28%,7318
79407,6%,13981
79410,3%,7201
79411,11%,5593
79412,6%,11264
79413,5%,16566
79414,6%,13433
79415,8%,13899
79416,5%,25583
79423,3%,24389
79424,2%,30937
79501,5%,2594
79502,5%,938
79503,0%,120
79504,5%,2492
79505,7%,296
79506,4%,684
79508,10%,911
79510,6%,6184
79511,3%,764
79512,3%,6973
79517,0%,147
79518,0%,128
79519,0%,60
79520,9%,1682
79521,11%,3161
79525,2%,1809
79526,2%,734
79527,0%,143
79528,3%,541
79529,3%,954
79530,2%,419
79532,7%,752
79533,0%,430
79534,15%,224
79535,6%,94
79536,5%,3284
79537,0%,115
79538,0%,122
79539,0%,147
79540,0%,116
79541,0%,477
79543,4%,855
79544,7%,319
79545,3%,1326
79546,4%,1565
79547,9%,621
79548,0%,120
79549,5%,12115
79553,5%,2628
79556,8%,10153
79560,8%,108
79561,16%,495
79562,0%,2891
79563,2%,1094
79565,0%,146
79566,0%,245
79567,1%,2469
79601,8%,23720
79602,4%,16977
79603,5%,16554
79605,4%,23663
79606,2%,18075
79607,0%,1592
79699,3%,386
79701,6%,19474
79703,3%,15181
79705,4%,25533
79706,3%,13796
79707,1%,25456
79713,0%,555
79714,4%,10756
79718,5%,952
79719,0%,313
79720,7%,26884
79730,0%,143
79731,8%,3095
79733,0%,120
79734,6%,1820
79735,2%,10684
79738,4%,290
79739,0%,716
79741,6%,225
79742,11%,338
79743,10%,223
79744,3%,850
79745,5%,4450
79748,0%,104
79749,1%,243
79752,1%,1606
79754,7%,62
79755,0%,114
79756,5%,6586
79758,0%,1438
79759,,0
79761,4%,21772
79762,3%,29917
79763,8%,23999
79764,4%,15040
79765,3%,5587
79766,7%,4818
79770,,0
79772,11%,9070
79777,1%,335
79778,0%,785
79780,0%,473
79781,2%,258
79782,5%,3019
79783,0%,90
79785,0%,182
79788,11%,335
79789,9%,722
79821,6%,5838
79830,2%,6079
79831,0%,13
79834,7%,204
79835,4%,9234
79836,6%,3452
79837,5%,461
79838,7%,5925
79839,12%,1381
79842,4%,545
79843,4%,2382
79845,13%,3222
79846,0%,153
79847,0%,55
79848,0%,756
79849,7%,9101
79851,0%,546
79852,2%,660
79853,10%,2143
79854,0%,140
79855,14%,1972
79901,9%,8082
79902,5%,16831
79903,9%,14056
79904,7%,23901
79905,10%,18795
79906,2%,2504
79907,8%,40579
79908,5%,1386
79911,2%,1303
79912,3%,58802
79915,7%,30375
79916,0%,2984
79920,0%,52
79922,1%,6543
79924,7%,43173
79925,5%,33425
79927,9%,27066
79928,6%,28903
79930,6%,21666
79932,5%,17869
79934,4%,12007
79935,6%,14127
79936,6%,82119
79938,7%,35139
79942,,0
