zip,compid,compname,comrate,indrate,resrate
40245,10171,Kentucky Utilities Co.,57.83,45.19,60.29
26217,12796,Monongahela Power Co.,59.39,41.09,72.5
24946,12796,Monongahela Power Co.,59.39,41.09,72.5
54525,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
33060,6452,Florida Power & Light Co.,106.06,88.71,119
95317,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
66901,12698,Aquila Inc.,68.63,52.06,84.81
13060,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
56569,14232,Otter Tail Power Co.,64.49,50.72,74.26
45230,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
45233,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
75205,A3483,Oncor Electric Delivery Co.,0,0,0
5050,7601,Green Mountain Power Corp.,109.59,75.73,132.56
20882,15270,Potomac Electric Power Co.,116.6,0,116.65
29684,5416,Duke Power Co.,63.62,44.52,78.13
54538,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
99174,20169,Avista Corp.,72.22,45.09,65.6
44110,3755,Cleveland Electric Illuminating Co.,111.47,66.68,107.92
49008,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
20837,15270,Potomac Electric Power Co.,116.6,0,116.65
72333,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
16651,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
51006,12341,MidAmerican Energy Co.,65.04,40.61,86.15
57319,13781,Northern States Power Co.,69.79,57.42,89.95
45111,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
97903,9191,Idaho Power Co.,43.18,34.12,59.12
53523,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
19129,14940,PECO Energy Co.,121.2,81.88,139.07
56214,13781,Northern States Power Co.,69.79,57.42,89.95
1354,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
51561,12341,MidAmerican Energy Co.,65.04,40.61,86.15
12072,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
49655,4254,Consumers Energy Co.,84.9,65.38,95.35
26444,12796,Monongahela Power Co.,59.39,41.09,72.5
2909,13214,Narragansett Electric Co.,136.93,127.63,150.98
75022,A3483,Oncor Electric Delivery Co.,0,0,0
49099,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
27853,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
88045,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
2832,13214,Narragansett Electric Co.,136.93,127.63,150.98
39629,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
59035,14354,PacifiCorp.,59.39,40.36,69.43
52773,9162,Interstate Power & Light Co.,0,0,0
67156,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
26003,14006,Ohio Power Co.,63.8,43.58,75.25
45014,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
28326,3046,Carolina Power & Light Co.,74.34,57.46,90.23
61462,9208,Illinois Power Co.,73.39,46.63,77.12
16950,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
24892,733,Appalachian Power Co.,52.6,36.59,58.52
21104,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
49707,4254,Consumers Energy Co.,84.9,65.38,95.35
12486,3249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
35071,195,Alabama Power Co.,81.85,49.23,89.32
29334,5416,Duke Power Co.,63.62,44.52,78.13
41367,22053,Kentucky Power Co.,67.59,42.47,64.98
41204,22053,Kentucky Power Co.,67.59,42.47,64.98
33418,6452,Florida Power & Light Co.,106.06,88.71,119
5346,15472,PSC of New Hampshire,136.75,128.88,151.42
90049,17609,Southern California Edison Co.,144.53,119.66,157.72
28665,5416,Duke Power Co.,63.62,44.52,78.13
33324,6452,Florida Power & Light Co.,106.06,88.71,119
56292,13781,Northern States Power Co.,69.79,57.42,89.95
76133,A3483,Oncor Electric Delivery Co.,0,0,0
54115,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
73159,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
49927,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
18850,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
76250,A3483,Oncor Electric Delivery Co.,0,0,0
45420,4922,Dayton Power & Light Co.,75.88,63.79,94.01
24442,12796,Monongahela Power Co.,59.39,41.09,72.5
14892,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
26807,12796,Monongahela Power Co.,59.39,41.09,72.5
28718,5416,Duke Power Co.,63.62,44.52,78.13
60617,4110,Commonwealth Edison Co.,76.48,55.66,86.59
34428,6455,Florida Power Corp.,95.25,83.1,117.91
19711,14940,PECO Energy Co.,121.2,81.88,139.07
41512,733,Appalachian Power Co.,52.6,36.59,58.52
46011,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
71371,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
32040,6452,Florida Power & Light Co.,106.06,88.71,119
59915,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
90802,17609,Southern California Edison Co.,144.53,119.66,157.72
65026,19436,Union Electric Co.,56.56,41.72,69.64
98933,14354,PacifiCorp.,59.39,40.36,69.43
22734,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
60002,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
79733,A3483,Oncor Electric Delivery Co.,0,0,0
26142,12796,Monongahela Power Co.,59.39,41.09,72.5
75855,A3483,Oncor Electric Delivery Co.,0,0,0
43345,4922,Dayton Power & Light Co.,75.88,63.79,94.01
29201,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
52041,9162,Interstate Power & Light Co.,0,0,0
32565,195,Alabama Power Co.,81.85,49.23,89.32
96760,8287,"Hawaii Electric Light Co., Inc.",300.9,256.38,310.33
46543,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
4854,3266,Central Maine Power Co.,129.63,0,144.58
53934,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
92411,17609,Southern California Edison Co.,144.53,119.66,157.72
27936,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
43116,4062,Columbus Southern Power Co.,68.9,51.29,87.05
49071,4254,Consumers Energy Co.,84.9,65.38,95.35
52302,9162,Interstate Power & Light Co.,0,0,0
63701,19436,Union Electric Co.,56.56,41.72,69.64
14545,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
94576,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
61252,4110,Commonwealth Edison Co.,76.48,55.66,86.59
2341,11804,Massachusetts Electric Co.,160.29,159.57,154.32
21045,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
72320,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
32340,6455,Florida Power Corp.,95.25,83.1,117.91
15823,20387,West Penn Power Co.,61.26,47.16,71.66
28214,5416,Duke Power Co.,63.62,44.52,78.13
15961,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
5033,7601,Green Mountain Power Corp.,109.59,75.73,132.56
29640,5416,Duke Power Co.,63.62,44.52,78.13
23222,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
77014,8901,"CenterPoint Energy Houston Electric, LLC",0,0,0
61314,3252,Central Illinois Light Co.,65.82,52,69.39
22850,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
17074,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
8560,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
39119,12686,Mississippi Power Co.,81.56,51.04,101.26
16406,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
46745,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
76534,A3483,Oncor Electric Delivery Co.,0,0,0
31036,7140,Georgia Power Co.,76.3,54.04,88.77
31076,7140,Georgia Power Co.,76.3,54.04,88.77
56137,9162,Interstate Power & Light Co.,0,0,0
93291,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
49444,4254,Consumers Energy Co.,84.9,65.38,95.35
58530,12819,Montana Dakota Utilities Co.,0,0,0
16218,20387,West Penn Power Co.,61.26,47.16,71.66
13074,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
18840,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
25979,12796,Monongahela Power Co.,59.39,41.09,72.5
71067,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
12953,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
18071,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
99840,219,Alaska Power & Telephone Co.,0,0,0
12022,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
71351,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
55909,9162,Interstate Power & Light Co.,0,0,0
7732,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
96145,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
18328,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
18038,12390,Metropolitan Edison Co.,82.19,64.62,93.56
36471,195,Alabama Power Co.,81.85,49.23,89.32
13353,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
53011,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
61458,3252,Central Illinois Light Co.,65.82,52,69.39
66734,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
76272,A3483,Oncor Electric Delivery Co.,0,0,0
78526,3278,AEP Texas Central Co.,0,0,0
93202,17609,Southern California Edison Co.,144.53,119.66,157.72
59480,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
2189,11804,Massachusetts Electric Co.,160.29,159.57,154.32
18255,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
72045,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
30558,7140,Georgia Power Co.,76.3,54.04,88.77
54943,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
71418,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
57479,13809,"NorthWestern Energy, a Division of Northwestern Co",79.6,55.66,85.81
62548,3252,Central Illinois Light Co.,65.82,52,69.39
13776,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
26036,20521,Wheeling Power Co.,53.61,31.24,57.37
61759,3252,Central Illinois Light Co.,65.82,52,69.39
31630,7140,Georgia Power Co.,76.3,54.04,88.77
66432,22500,Westar Energy Inc.,0,0,0
4679,1179,Bangor Hydro-Electric Co.,0,0,0
6475,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
49852,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
25555,22053,Kentucky Power Co.,67.59,42.47,64.98
55444,13781,Northern States Power Co.,69.79,57.42,89.95
2148,11804,Massachusetts Electric Co.,160.29,159.57,154.32
96091,14354,PacifiCorp.,59.39,40.36,69.43
74016,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
29078,3046,Carolina Power & Light Co.,74.34,57.46,90.23
49618,4254,Consumers Energy Co.,84.9,65.38,95.35
40374,10171,Kentucky Utilities Co.,57.83,45.19,60.29
52165,9162,Interstate Power & Light Co.,0,0,0
54153,20860,Wisconsin Public Service Corp.,76.39,46.96,108.51
48906,4254,Consumers Energy Co.,84.9,65.38,95.35
32064,6452,Florida Power & Light Co.,106.06,88.71,119
51104,12341,MidAmerican Energy Co.,65.04,40.61,86.15
51048,12341,MidAmerican Energy Co.,65.04,40.61,86.15
93635,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
57041,13781,Northern States Power Co.,69.79,57.42,89.95
43617,18997,Toledo Edison Co.,104.33,44.25,108.58
18844,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
81140,15466,PSC of Colorado,74.07,58.3,88.42
49304,4254,Consumers Energy Co.,84.9,65.38,95.35
17265,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
53546,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
44889,13998,Ohio Edison Co.,100.63,59.53,104.78
1373,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
49967,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
62546,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
19316,14940,PECO Energy Co.,121.2,81.88,139.07
62090,19436,Union Electric Co.,56.56,41.72,69.64
52321,9162,Interstate Power & Light Co.,0,0,0
51453,12341,MidAmerican Energy Co.,65.04,40.61,86.15
1057,11804,Massachusetts Electric Co.,160.29,159.57,154.32
19150,14940,PECO Energy Co.,121.2,81.88,139.07
15936,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
23323,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
60071,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
3452,15472,PSC of New Hampshire,136.75,128.88,151.42
3304,15472,PSC of New Hampshire,136.75,128.88,151.42
46107,9273,Indianapolis Power & Light Co.,78.31,55.76,72.34
97201,15248,Portland General Electric Co.,75.02,58.26,82.88
54205,20860,Wisconsin Public Service Corp.,76.39,46.96,108.51
39897,7140,Georgia Power Co.,76.3,54.04,88.77
7832,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
96003,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
55395,13781,Northern States Power Co.,69.79,57.42,89.95
66839,22500,Westar Energy Inc.,0,0,0
24941,733,Appalachian Power Co.,52.6,36.59,58.52
16350,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
32735,6455,Florida Power Corp.,95.25,83.1,117.91
24089,733,Appalachian Power Co.,52.6,36.59,58.52
50594,12341,MidAmerican Energy Co.,65.04,40.61,86.15
98039,15500,"Puget Sound Energy, Inc.",80.14,75.83,74.95
91730,17609,Southern California Edison Co.,144.53,119.66,157.72
50138,12341,MidAmerican Energy Co.,65.04,40.61,86.15
77412,3278,AEP Texas Central Co.,0,0,0
13464,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
58012,13781,Northern States Power Co.,69.79,57.42,89.95
67548,12698,Aquila Inc.,68.63,52.06,84.81
12186,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
83425,14354,PacifiCorp.,59.39,40.36,69.43
54515,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
12017,11804,Massachusetts Electric Co.,160.29,159.57,154.32
45879,14006,Ohio Power Co.,63.8,43.58,75.25
60470,4110,Commonwealth Edison Co.,76.48,55.66,86.59
65035,19436,Union Electric Co.,56.56,41.72,69.64
58425,14232,Otter Tail Power Co.,64.49,50.72,74.26
76458,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
16002,14716,Pennsylvania Power Co.,73.87,54.63,82.95
31220,7140,Georgia Power Co.,76.3,54.04,88.77
95923,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
33619,18454,Tampa Electric Co.,96.85,76.54,109.71
75452,A3483,Oncor Electric Delivery Co.,0,0,0
15437,12796,Monongahela Power Co.,59.39,41.09,72.5
59808,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
52573,9162,Interstate Power & Light Co.,0,0,0
63533,19436,Union Electric Co.,56.56,41.72,69.64
24502,733,Appalachian Power Co.,52.6,36.59,58.52
95526,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
53901,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
60551,4110,Commonwealth Edison Co.,76.48,55.66,86.59
4775,11522,Maine Public Service Co.,0,0,0
56170,14232,Otter Tail Power Co.,64.49,50.72,74.26
78870,3278,AEP Texas Central Co.,0,0,0
24943,733,Appalachian Power Co.,52.6,36.59,58.52
81006,12698,Aquila Inc.,68.63,52.06,84.81
81649,15466,PSC of Colorado,74.07,58.3,88.42
12065,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
92646,17609,Southern California Edison Co.,144.53,119.66,157.72
30549,7140,Georgia Power Co.,76.3,54.04,88.77
54889,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
65032,19436,Union Electric Co.,56.56,41.72,69.64
44645,13998,Ohio Edison Co.,100.63,59.53,104.78
80011,15466,PSC of Colorado,74.07,58.3,88.42
4107,3266,Central Maine Power Co.,129.63,0,144.58
25431,15263,Potomac Edison Co.,80.14,52.31,69.2
7871,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
55312,13781,Northern States Power Co.,69.79,57.42,89.95
84043,14354,PacifiCorp.,59.39,40.36,69.43
84121,14354,PacifiCorp.,59.39,40.36,69.43
43620,18997,Toledo Edison Co.,104.33,44.25,108.58
30183,7140,Georgia Power Co.,76.3,54.04,88.77
43128,4922,Dayton Power & Light Co.,75.88,63.79,94.01
72113,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
43506,14006,Ohio Power Co.,63.8,43.58,75.25
33027,6452,Florida Power & Light Co.,106.06,88.71,119
16744,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
49057,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
59101,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
47581,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
95492,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
48041,5109,Detroit Edison Co.,85.32,59.4,102.07
27976,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
25444,15263,Potomac Edison Co.,80.14,52.31,69.2
1852,11804,Massachusetts Electric Co.,160.29,159.57,154.32
45891,14006,Ohio Power Co.,63.8,43.58,75.25
93251,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
16669,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
76666,A3483,Oncor Electric Delivery Co.,0,0,0
75065,A3483,Oncor Electric Delivery Co.,0,0,0
19422,14940,PECO Energy Co.,121.2,81.88,139.07
83404,14354,PacifiCorp.,59.39,40.36,69.43
71447,3265,Cleco Power LLC,103.71,77.5,110.06
62454,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
46785,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
78026,3278,AEP Texas Central Co.,0,0,0
43153,13998,Ohio Edison Co.,100.63,59.53,104.78
53121,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
3216,4148,"Unitil Energy Systems, Inc.",0,0,0
45337,4922,Dayton Power & Light Co.,75.88,63.79,94.01
17878,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
93615,17609,Southern California Edison Co.,144.53,119.66,157.72
17257,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
31030,7140,Georgia Power Co.,76.3,54.04,88.77
60411,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
60541,9208,Illinois Power Co.,73.39,46.63,77.12
34786,6455,Florida Power Corp.,95.25,83.1,117.91
33054,6452,Florida Power & Light Co.,106.06,88.71,119
56444,12647,"Minnesota Power, Inc.",62.41,41.45,70.69
26321,12796,Monongahela Power Co.,59.39,41.09,72.5
13838,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
75831,17699,TXU SESCO Co.,0,0,0
29707,5416,Duke Power Co.,63.62,44.52,78.13
66208,10000,Kansas City Power & Light Co.,60.27,46.48,71
93664,17609,Southern California Edison Co.,144.53,119.66,157.72
49744,4254,Consumers Energy Co.,84.9,65.38,95.35
6751,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
84324,14354,PacifiCorp.,59.39,40.36,69.43
52773,12341,MidAmerican Energy Co.,65.04,40.61,86.15
57048,13781,Northern States Power Co.,69.79,57.42,89.95
10036,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
50057,12341,MidAmerican Energy Co.,65.04,40.61,86.15
82428,14354,PacifiCorp.,59.39,40.36,69.43
72087,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
2152,1998,Boston Edison Co.,193.53,199.87,201.75
17320,15263,Potomac Edison Co.,80.14,52.31,69.2
27869,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
64832,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
27244,3046,Carolina Power & Light Co.,74.34,57.46,90.23
18801,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
43747,14006,Ohio Power Co.,63.8,43.58,75.25
62010,9208,Illinois Power Co.,73.39,46.63,77.12
76366,A3483,Oncor Electric Delivery Co.,0,0,0
76622,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
27959,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
47043,10171,Kentucky Utilities Co.,57.83,45.19,60.29
75075,A3483,Oncor Electric Delivery Co.,0,0,0
75944,A3483,Oncor Electric Delivery Co.,0,0,0
7750,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
46814,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
25840,733,Appalachian Power Co.,52.6,36.59,58.52
6033,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
80135,15466,PSC of Colorado,74.07,58.3,88.42
90069,17609,Southern California Edison Co.,144.53,119.66,157.72
79735,20404,AEP Texas North Co.,0,0,0
80476,15466,PSC of Colorado,74.07,58.3,88.42
50021,12341,MidAmerican Energy Co.,65.04,40.61,86.15
16832,20387,West Penn Power Co.,61.26,47.16,71.66
1702,1998,Boston Edison Co.,193.53,199.87,201.75
50521,12341,MidAmerican Energy Co.,65.04,40.61,86.15
65203,19436,Union Electric Co.,56.56,41.72,69.64
64631,12698,Aquila Inc.,68.63,52.06,84.81
48205,5109,Detroit Edison Co.,85.32,59.4,102.07
33132,6452,Florida Power & Light Co.,106.06,88.71,119
23509,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
50621,9162,Interstate Power & Light Co.,0,0,0
83334,9191,Idaho Power Co.,43.18,34.12,59.12
48850,4254,Consumers Energy Co.,84.9,65.38,95.35
26679,12796,Monongahela Power Co.,59.39,41.09,72.5
29111,3046,Carolina Power & Light Co.,74.34,57.46,90.23
50845,9162,Interstate Power & Light Co.,0,0,0
39837,7140,Georgia Power Co.,76.3,54.04,88.77
13244,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
92220,17609,Southern California Edison Co.,144.53,119.66,157.72
23032,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
48348,4254,Consumers Energy Co.,84.9,65.38,95.35
49323,4254,Consumers Energy Co.,84.9,65.38,95.35
43551,18997,Toledo Edison Co.,104.33,44.25,108.58
15722,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
60455,4110,Commonwealth Edison Co.,76.48,55.66,86.59
7304,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
47537,17633,Southern Indiana Gas & Electric Co.,71.27,51.51,89.69
48180,5109,Detroit Edison Co.,85.32,59.4,102.07
75058,A3483,Oncor Electric Delivery Co.,0,0,0
77080,8901,"CenterPoint Energy Houston Electric, LLC",0,0,0
8075,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
62513,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
49321,4254,Consumers Energy Co.,84.9,65.38,95.35
52060,9162,Interstate Power & Light Co.,0,0,0
17041,12390,Metropolitan Edison Co.,82.19,64.62,93.56
2889,13214,Narragansett Electric Co.,136.93,127.63,150.98
71676,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
30241,7140,Georgia Power Co.,76.3,54.04,88.77
13732,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
16829,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
18222,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
7035,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
12780,3249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
93518,17609,Southern California Edison Co.,144.53,119.66,157.72
1566,11804,Massachusetts Electric Co.,160.29,159.57,154.32
27891,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
39663,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
50228,12341,MidAmerican Energy Co.,65.04,40.61,86.15
65360,12698,Aquila Inc.,68.63,52.06,84.81
59710,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
4090,3266,Central Maine Power Co.,129.63,0,144.58
2770,4089,Commonwealth Electric Co.,172.95,163.03,195.27
24078,733,Appalachian Power Co.,52.6,36.59,58.52
49685,4254,Consumers Energy Co.,84.9,65.38,95.35
92126,16609,San Diego Gas & Electric Co.,144.57,111.44,168.89
79057,20404,AEP Texas North Co.,0,0,0
40403,10171,Kentucky Utilities Co.,57.83,45.19,60.29
30032,7140,Georgia Power Co.,76.3,54.04,88.77
50104,12341,MidAmerican Energy Co.,65.04,40.61,86.15
